                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.5000   1.5030  35.0570  0.37406E+01  0.40304E+01  0.38036E-03  0.39138E+01  0.39843E+01  0.39526E-03  0.38534E+01
    6.6000   2.6030  24.1190  0.84893E+01  0.87149E+01  0.35367E-03  0.86081E+01  0.85515E+01  0.35807E-03  0.84312E+01
    7.7000   3.7030  18.6670  0.15142E+02  0.15176E+02  0.36019E-03  0.15059E+02  0.14827E+02  0.36064E-03  0.14694E+02
    8.8000   4.8030  15.3100  0.23784E+02  0.23450E+02  0.37257E-03  0.23312E+02  0.22835E+02  0.37083E-03  0.22678E+02
   11.0000   7.0030  11.3250  0.47212E+02  0.45487E+02  0.39490E-03  0.45292E+02  0.44067E+02  0.39006E-03  0.43841E+02
    6.6000   1.2710  40.3950  0.14511E+01  0.16376E+01  0.23057E-03  0.15689E+01  0.16278E+01  0.24140E-03  0.15510E+01
    7.7000   2.3710  27.0700  0.34039E+01  0.35719E+01  0.19262E-03  0.35263E+01  0.35154E+01  0.19450E-03  0.34644E+01
    8.8000   3.4710  20.8490  0.60890E+01  0.62082E+01  0.19303E-03  0.61671E+01  0.60816E+01  0.19288E-03  0.60356E+01
   11.0000   5.6710  14.5480  0.13812E+02  0.13647E+02  0.20574E-03  0.13602E+02  0.13290E+02  0.20377E-03  0.13239E+02
    4.4000   0.9890  50.7650  0.13930E+01  0.15103E+01  0.12105E-03  0.14375E+01  0.14879E+01  0.13316E-03  0.14064E+01
    5.5000   2.0890  30.5960  0.40595E+01  0.40768E+01  0.85980E-04  0.40146E+01  0.39717E+01  0.88659E-04  0.39016E+01
    6.6000   3.1890  22.4830  0.80707E+01  0.78722E+01  0.83965E-04  0.77991E+01  0.76288E+01  0.84798E-04  0.75458E+01
    7.7000   4.2890  17.9070  0.13502E+02  0.12926E+02  0.85291E-04  0.12834E+02  0.12479E+02  0.85304E-04  0.12373E+02
    8.8000   5.3890  14.9250  0.20394E+02  0.19251E+02  0.87772E-04  0.19133E+02  0.18525E+02  0.87148E-04  0.18390E+02
   11.0000   7.5890  11.2350  0.38649E+02  0.35716E+02  0.92288E-04  0.35532E+02  0.34195E+02  0.90991E-04  0.33981E+02
    8.8000   4.5370  18.2120  0.77170E+01  0.74122E+01  0.47652E-04  0.73776E+01  0.71593E+01  0.47259E-04  0.71201E+01
   11.0000   6.7370  13.3420  0.15647E+02  0.14670E+02  0.50646E-04  0.14621E+02  0.14095E+02  0.49850E-04  0.14038E+02
    5.5000   1.2370  45.0900  0.10582E+01  0.11284E+01  0.59961E-04  0.10908E+01  0.11086E+01  0.64090E-04  0.10666E+01
    6.6000   2.3370  29.5040  0.26115E+01  0.26201E+01  0.46945E-04  0.25912E+01  0.25513E+01  0.47688E-04  0.25189E+01
    7.7000   3.4370  22.4180  0.48195E+01  0.47101E+01  0.46297E-04  0.46799E+01  0.45652E+01  0.46234E-04  0.45312E+01
    8.8000   4.5370  18.2120  0.77170E+01  0.74122E+01  0.47652E-04  0.73776E+01  0.71593E+01  0.47259E-04  0.71201E+01
   11.0000   6.7370  13.3420  0.15647E+02  0.14670E+02  0.50646E-04  0.14621E+02  0.14095E+02  0.49850E-04  0.14038E+02
    6.6000   1.2710  45.4130  0.61757E+00  0.66722E+00  0.36695E-04  0.64524E+00  0.65641E+00  0.39014E-04  0.63198E+00
    7.7000   2.3710  30.3370  0.14451E+01  0.14629E+01  0.27886E-04  0.14491E+01  0.14262E+01  0.28122E-04  0.14108E+01
    8.8000   3.4710  23.3420  0.25811E+01  0.25440E+01  0.27580E-04  0.25315E+01  0.24693E+01  0.27457E-04  0.24552E+01
   11.0000   5.6710  16.2760  0.58441E+01  0.55878E+01  0.29486E-04  0.55735E+01  0.53916E+01  0.29122E-04  0.53755E+01
    5.5000   1.0590  55.1890  0.32068E+00  0.33906E+00  0.13119E-04  0.32535E+00  0.33107E+00  0.14525E-04  0.31588E+00
    6.6000   2.1590  34.4550  0.84937E+00  0.83396E+00  0.76837E-05  0.82474E+00  0.80610E+00  0.78012E-05  0.79582E+00
    7.7000   3.2590  25.7920  0.16063E+01  0.15335E+01  0.73446E-05  0.15239E+01  0.14752E+01  0.73100E-05  0.14644E+01
    8.8000   4.3590  20.7990  0.26073E+01  0.24445E+01  0.75479E-05  0.24332E+01  0.23432E+01  0.74605E-05  0.23304E+01
   11.0000   6.5590  15.1270  0.53654E+01  0.49060E+01  0.80754E-05  0.48893E+01  0.46774E+01  0.79276E-05  0.46582E+01
    4.4000   0.6900  64.6000  0.72785E+00  0.85198E+00  0.14688E-03  0.77375E+00  0.84713E+00  0.16804E-03  0.75968E+00
   11.0000   1.3800  45.5000  0.15633E+00  0.17531E+00  0.11047E-04  0.16955E+00  0.17307E+00  0.11470E-04  0.16672E+00
    4.4000   2.1100  27.9000  0.13074E+02  0.12894E+02  0.28402E-03  0.12625E+02  0.12533E+02  0.29987E-03  0.12226E+02
   11.0000   4.8300  19.0000  0.28997E+01  0.28155E+01  0.21033E-04  0.28085E+01  0.27249E+01  0.20836E-04  0.27170E+01
